Specificity	GO_CC	Population	SpecificInts	CC	Overlap	Pvalue	OverlapGenes
MUT	mitochondrial pyruvate dehydrogenase complex	232	43	0	0	1	
WT	lumenal side of lysosomal membrane	232	5	1	0	1	
MUT	lumenal side of lysosomal membrane	232	43	1	0	1	
WT	nuclear periphery	232	5	1	0	1	
MUT	nuclear periphery	232	43	1	0	1	
WT	tubulin complex	232	5	0	0	1	
MUT	tubulin complex	232	43	0	0	1	
WT	cAMP-dependent protein kinase complex	232	5	0	0	1	
MUT	cAMP-dependent protein kinase complex	232	43	0	0	1	
WT	sperm connecting piece	232	5	0	0	1	
MUT	sperm connecting piece	232	43	0	0	1	
WT	chromaffin granule	232	5	0	0	1	
MUT	chromaffin granule	232	43	0	0	1	
WT	protein complex involved in cell adhesion	232	5	0	0	1	
MUT	protein complex involved in cell adhesion	232	43	0	0	1	
WT	coated vesicle	232	5	0	0	1	
MUT	coated vesicle	232	43	0	0	1	
WT	perinuclear endoplasmic reticulum lumen	232	5	0	0	1	
MUT	perinuclear endoplasmic reticulum lumen	232	43	0	0	1	
WT	dendritic branch	232	5	1	0	1	
MUT	dendritic branch	232	43	1	0	1	
WT	CA3 pyramidal cell dendrite	232	5	1	0	1	
MUT	CA3 pyramidal cell dendrite	232	43	1	0	1	
WT	primary dendrite	232	5	1	0	1	
MUT	primary dendrite	232	43	1	0	1	
WT	distal dendrite	232	5	1	0	1	
MUT	distal dendrite	232	43	1	0	1	
WT	apical distal dendrite	232	5	1	0	1	
MUT	apical distal dendrite	232	43	1	0	1	
WT	dendritic filopodium	232	5	1	0	1	
MUT	dendritic filopodium	232	43	1	0	1	
WT	proximal dendrite	232	5	1	0	1	
MUT	proximal dendrite	232	43	1	0	1	
WT	Prp19 complex	232	5	1	0	1	
MUT	Prp19 complex	232	43	1	0	1	
WT	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	232	5	1	0	1	
MUT	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	232	43	1	0	1	
WT	photoreceptor ribbon synapse	232	5	1	0	1	
MUT	photoreceptor ribbon synapse	232	43	1	0	1	
WT	glycinergic synapse	232	5	1	0	1	
MUT	glycinergic synapse	232	43	1	0	1	
WT	postsynaptic specialization membrane	232	5	1	0	1	
MUT	postsynaptic specialization membrane	232	43	1	0	1	
WT	cytolytic granule	232	5	0	0	1	
MUT	cytolytic granule	232	43	0	0	1	
WT	phagolysosome membrane	232	5	0	0	1	
MUT	phagolysosome membrane	232	43	0	0	1	
WT	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex	232	5	0	0	1	
MUT	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex	232	43	0	0	1	
WT	viral integration complex	232	5	0	0	1	
MUT	viral integration complex	232	43	0	0	1	
WT	BAT3 complex	232	5	0	0	1	
MUT	BAT3 complex	232	43	0	0	1	
WT	syntrophin complex	232	5	0	0	1	
MUT	syntrophin complex	232	43	0	0	1	
WT	cell-substrate junction	232	5	1	0	1	
MUT	cell-substrate junction	232	43	1	1	0.185344827586207	SORBS1
WT	cyclin D2-CDK4 complex	232	5	0	0	1	
MUT	cyclin D2-CDK4 complex	232	43	0	0	1	
WT	B cell receptor complex	232	5	0	0	1	
MUT	B cell receptor complex	232	43	0	0	1	
WT	replisome	232	5	0	0	1	
MUT	replisome	232	43	0	0	1	
WT	PCNA complex	232	5	0	0	1	
MUT	PCNA complex	232	43	0	0	1	
WT	PCNA-p21 complex	232	5	0	0	1	
MUT	PCNA-p21 complex	232	43	0	0	1	
WT	collagen type XI trimer	232	5	0	0	1	
MUT	collagen type XI trimer	232	43	0	0	1	
WT	integral component of mitochondrial membrane	232	5	0	0	1	
MUT	integral component of mitochondrial membrane	232	43	0	0	1	
WT	BMP receptor complex	232	5	0	0	1	
MUT	BMP receptor complex	232	43	0	0	1	
WT	fascia adherens	232	5	1	0	1	
MUT	fascia adherens	232	43	1	0	1	
WT	Ku70:Ku80 complex	232	5	0	0	1	
MUT	Ku70:Ku80 complex	232	43	0	0	1	
WT	nonhomologous end joining complex	232	5	0	0	1	
MUT	nonhomologous end joining complex	232	43	0	0	1	
WT	lysosomal matrix	232	5	0	0	1	
MUT	lysosomal matrix	232	43	0	0	1	
WT	interphotoreceptor matrix	232	5	0	0	1	
MUT	interphotoreceptor matrix	232	43	0	0	1	
WT	integrin alpha4-beta7 complex	232	5	0	0	1	
MUT	integrin alpha4-beta7 complex	232	43	0	0	1	
WT	polysomal ribosome	232	5	8	0	1	
MUT	polysomal ribosome	232	43	8	2	0.454888122655286	RPL24,RPL8
WT	MHC class Ib protein complex	232	5	0	0	1	
MUT	MHC class Ib protein complex	232	43	0	0	1	
WT	glucosidase II complex	232	5	0	0	1	
MUT	glucosidase II complex	232	43	0	0	1	
WT	cell projection membrane	232	5	1	0	1	
MUT	cell projection membrane	232	43	1	0	1	
WT	cell body membrane	232	5	0	0	1	
MUT	cell body membrane	232	43	0	0	1	
WT	astrocyte end-foot	232	5	0	0	1	
MUT	astrocyte end-foot	232	43	0	0	1	
WT	phagolysosome	232	5	0	0	1	
MUT	phagolysosome	232	43	0	0	1	
WT	pyruvate kinase complex	232	5	0	0	1	
MUT	pyruvate kinase complex	232	43	0	0	1	
WT	insulin-responsive compartment	232	5	1	0	1	
MUT	insulin-responsive compartment	232	43	1	0	1	
WT	U7 snRNP	232	5	0	0	1	
MUT	U7 snRNP	232	43	0	0	1	
WT	U4 snRNP	232	5	0	0	1	
MUT	U4 snRNP	232	43	0	0	1	
WT	ribonucleoprotein granule	232	5	0	0	1	
MUT	ribonucleoprotein granule	232	43	0	0	1	
WT	GABA-A receptor complex	232	5	0	0	1	
MUT	GABA-A receptor complex	232	43	0	0	1	
WT	smooth muscle contractile fiber	232	5	0	0	1	
MUT	smooth muscle contractile fiber	232	43	0	0	1	
WT	gamma-catenin-TCF7L2 complex	232	5	0	0	1	
MUT	gamma-catenin-TCF7L2 complex	232	43	0	0	1	
WT	hemidesmosome	232	5	1	0	1	
MUT	hemidesmosome	232	43	1	1	0.185344827586207	DST
WT	plasma membrane bounded cell projection cytoplasm	232	5	0	0	1	
MUT	plasma membrane bounded cell projection cytoplasm	232	43	0	0	1	
WT	Golgi trans cisterna	232	5	0	0	1	
MUT	Golgi trans cisterna	232	43	0	0	1	
WT	cell tip	232	5	0	0	1	
MUT	cell tip	232	43	0	0	1	
WT	proton-transporting V-type ATPase, V1 domain	232	5	0	0	1	
MUT	proton-transporting V-type ATPase, V1 domain	232	43	0	0	1	
WT	elastic fiber	232	5	0	0	1	
MUT	elastic fiber	232	43	0	0	1	
WT	inner acrosomal membrane	232	5	0	0	1	
MUT	inner acrosomal membrane	232	43	0	0	1	
WT	phosphorylase kinase complex	232	5	0	0	1	
MUT	phosphorylase kinase complex	232	43	0	0	1	
WT	beta-catenin-TCF7L2 complex	232	5	1	0	1	
MUT	beta-catenin-TCF7L2 complex	232	43	1	0	1	
WT	perisynaptic extracellular matrix	232	5	0	0	1	
MUT	perisynaptic extracellular matrix	232	43	0	0	1	
WT	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex	232	5	0	0	1	
MUT	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex	232	43	0	0	1	
WT	ATF4-CREB1 transcription factor complex	232	5	0	0	1	
MUT	ATF4-CREB1 transcription factor complex	232	43	0	0	1	
WT	calcineurin complex	232	5	0	0	1	
MUT	calcineurin complex	232	43	0	0	1	
WT	juxtaparanode region of axon	232	5	1	0	1	
MUT	juxtaparanode region of axon	232	43	1	0	1	
WT	apical ectoplasmic specialization	232	5	0	0	1	
MUT	apical ectoplasmic specialization	232	43	0	0	1	
WT	plasma membrane bounded cell projection	232	5	0	0	1	
MUT	plasma membrane bounded cell projection	232	43	0	0	1	
WT	senescence-associated heterochromatin focus	232	5	0	0	1	
MUT	senescence-associated heterochromatin focus	232	43	0	0	1	
WT	Lsd1/2 complex	232	5	0	0	1	
MUT	Lsd1/2 complex	232	43	0	0	1	
WT	condensed chromosome, centromeric region	232	5	0	0	1	
MUT	condensed chromosome, centromeric region	232	43	0	0	1	
WT	CHOP-C/EBP complex	232	5	0	0	1	
MUT	CHOP-C/EBP complex	232	43	0	0	1	
WT	growth cone membrane	232	5	1	0	1	
MUT	growth cone membrane	232	43	1	0	1	
WT	cis-Golgi network membrane	232	5	0	0	1	
MUT	cis-Golgi network membrane	232	43	0	0	1	
WT	cytoophidium	232	5	0	0	1	
MUT	cytoophidium	232	43	0	0	1	
WT	zona pellucida receptor complex	232	5	1	0	1	
MUT	zona pellucida receptor complex	232	43	1	1	0.185344827586207	HSPA1L
WT	chaperonin-containing T-complex	232	5	0	0	1	
MUT	chaperonin-containing T-complex	232	43	0	0	1	
WT	cytoplasmic side of endoplasmic reticulum membrane	232	5	0	0	1	
MUT	cytoplasmic side of endoplasmic reticulum membrane	232	43	0	0	1	
WT	transcription factor TFIIH core complex	232	5	0	0	1	
MUT	transcription factor TFIIH core complex	232	43	0	0	1	
WT	transcription factor TFIIH holo complex	232	5	0	0	1	
MUT	transcription factor TFIIH holo complex	232	43	0	0	1	
WT	CAK-ERCC2 complex	232	5	0	0	1	
MUT	CAK-ERCC2 complex	232	43	0	0	1	
WT	NELF complex	232	5	0	0	1	
MUT	NELF complex	232	43	0	0	1	
WT	ATF1-ATF4 transcription factor complex	232	5	0	0	1	
MUT	ATF1-ATF4 transcription factor complex	232	43	0	0	1	
WT	CHOP-ATF3 complex	232	5	0	0	1	
MUT	CHOP-ATF3 complex	232	43	0	0	1	
WT	Lewy body core	232	5	0	0	1	
MUT	Lewy body core	232	43	0	0	1	
WT	CHOP-ATF4 complex	232	5	0	0	1	
MUT	CHOP-ATF4 complex	232	43	0	0	1	
WT	alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex	232	5	0	0	1	
MUT	alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex	232	43	0	0	1	
WT	cardiac Troponin complex	232	5	0	0	1	
MUT	cardiac Troponin complex	232	43	0	0	1	
WT	tumor necrosis factor receptor superfamily complex	232	5	0	0	1	
MUT	tumor necrosis factor receptor superfamily complex	232	43	0	0	1	
WT	cation-transporting ATPase complex	232	5	0	0	1	
MUT	cation-transporting ATPase complex	232	43	0	0	1	
WT	I-kappaB/NF-kappaB complex	232	5	0	0	1	
MUT	I-kappaB/NF-kappaB complex	232	43	0	0	1	
WT	integral component of presynaptic active zone membrane	232	5	0	0	1	
MUT	integral component of presynaptic active zone membrane	232	43	0	0	1	
WT	transcription factor TFIIA complex	232	5	0	0	1	
MUT	transcription factor TFIIA complex	232	43	0	0	1	
WT	cyclin A2-CDK2 complex	232	5	0	0	1	
MUT	cyclin A2-CDK2 complex	232	43	0	0	1	
WT	clathrin-sculpted acetylcholine transport vesicle membrane	232	5	0	0	1	
MUT	clathrin-sculpted acetylcholine transport vesicle membrane	232	43	0	0	1	
WT	clathrin-sculpted glutamate transport vesicle membrane	232	5	0	0	1	
MUT	clathrin-sculpted glutamate transport vesicle membrane	232	43	0	0	1	
WT	clathrin-sculpted monoamine transport vesicle membrane	232	5	0	0	1	
MUT	clathrin-sculpted monoamine transport vesicle membrane	232	43	0	0	1	
WT	cytoplasmic side of early endosome membrane	232	5	0	0	1	
MUT	cytoplasmic side of early endosome membrane	232	43	0	0	1	
WT	endosome to plasma membrane transport vesicle	232	5	0	0	1	
MUT	endosome to plasma membrane transport vesicle	232	43	0	0	1	
WT	MutSbeta complex	232	5	0	0	1	
MUT	MutSbeta complex	232	43	0	0	1	
WT	Bcl3-Bcl10 complex	232	5	0	0	1	
MUT	Bcl3-Bcl10 complex	232	43	0	0	1	
WT	Bcl3/NF-kappaB2 complex	232	5	0	0	1	
MUT	Bcl3/NF-kappaB2 complex	232	43	0	0	1	
WT	collagen type IX trimer	232	5	0	0	1	
MUT	collagen type IX trimer	232	43	0	0	1	
WT	compact myelin	232	5	0	0	1	
MUT	compact myelin	232	43	0	0	1	
WT	mesaxon	232	5	0	0	1	
MUT	mesaxon	232	43	0	0	1	
WT	hinge region between urothelial plaques of apical plasma membrane	232	5	0	0	1	
MUT	hinge region between urothelial plaques of apical plasma membrane	232	43	0	0	1	
WT	proton-transporting two-sector ATPase complex	232	5	0	0	1	
MUT	proton-transporting two-sector ATPase complex	232	43	0	0	1	
WT	glycerol-3-phosphate dehydrogenase complex	232	5	0	0	1	
MUT	glycerol-3-phosphate dehydrogenase complex	232	43	0	0	1	
WT	egg coat	232	5	0	0	1	
MUT	egg coat	232	43	0	0	1	
WT	mitochondrial permeability transition pore complex	232	5	0	0	1	
MUT	mitochondrial permeability transition pore complex	232	43	0	0	1	
WT	ryanodine receptor complex	232	5	0	0	1	
MUT	ryanodine receptor complex	232	43	0	0	1	
WT	dense fibrillar component	232	5	0	0	1	
MUT	dense fibrillar component	232	43	0	0	1	
WT	cytochrome complex	232	5	0	0	1	
MUT	cytochrome complex	232	43	0	0	1	
WT	intracellular canaliculus	232	5	0	0	1	
MUT	intracellular canaliculus	232	43	0	0	1	
WT	integrin alpha6-beta4 complex	232	5	0	0	1	
MUT	integrin alpha6-beta4 complex	232	43	0	0	1	
WT	polar microtubule	232	5	0	0	1	
MUT	polar microtubule	232	43	0	0	1	
WT	NF-kappaB complex	232	5	1	0	1	
MUT	NF-kappaB complex	232	43	1	0	1	
WT	inhibitory synapse	232	5	0	0	1	
MUT	inhibitory synapse	232	43	0	0	1	
WT	glycine cleavage complex	232	5	0	0	1	
MUT	glycine cleavage complex	232	43	0	0	1	
WT	perineuronal net	232	5	0	0	1	
MUT	perineuronal net	232	43	0	0	1	
WT	CCAAT-binding factor complex	232	5	0	0	1	
MUT	CCAAT-binding factor complex	232	43	0	0	1	
WT	Rab-protein geranylgeranyltransferase complex	232	5	0	0	1	
MUT	Rab-protein geranylgeranyltransferase complex	232	43	0	0	1	
WT	secondary lysosome	232	5	0	0	1	
MUT	secondary lysosome	232	43	0	0	1	
WT	eukaryotic translation elongation factor 1 complex	232	5	0	0	1	
MUT	eukaryotic translation elongation factor 1 complex	232	43	0	0	1	
WT	postsynaptic recycling endosome	232	5	0	0	1	
MUT	postsynaptic recycling endosome	232	43	0	0	1	
WT	insulin-like growth factor binary complex	232	5	0	0	1	
MUT	insulin-like growth factor binary complex	232	43	0	0	1	
WT	cyclin E1-CDK2 complex	232	5	0	0	1	
MUT	cyclin E1-CDK2 complex	232	43	0	0	1	
WT	cyclin A1-CDK2 complex	232	5	0	0	1	
MUT	cyclin A1-CDK2 complex	232	43	0	0	1	
WT	MCM complex	232	5	0	0	1	
MUT	MCM complex	232	43	0	0	1	
WT	laminin-3 complex	232	5	0	0	1	
MUT	laminin-3 complex	232	43	0	0	1	
WT	outer dense fiber	232	5	0	0	1	
MUT	outer dense fiber	232	43	0	0	1	
WT	concave side of sperm head	232	5	0	0	1	
MUT	concave side of sperm head	232	43	0	0	1	
WT	extrinsic component of postsynaptic membrane	232	5	0	0	1	
MUT	extrinsic component of postsynaptic membrane	232	43	0	0	1	
WT	U2AF	232	5	0	0	1	
MUT	U2AF	232	43	0	0	1	
WT	Dcp1-Dcp2 complex	232	5	0	0	1	
MUT	Dcp1-Dcp2 complex	232	43	0	0	1	
WT	calcium ion-transporting ATPase complex	232	5	0	0	1	
MUT	calcium ion-transporting ATPase complex	232	43	0	0	1	
WT	CNTFR-CLCF1 complex	232	5	0	0	1	
MUT	CNTFR-CLCF1 complex	232	43	0	0	1	
WT	collagen type VIII trimer	232	5	0	0	1	
MUT	collagen type VIII trimer	232	43	0	0	1	
WT	phosphatidylinositol 3-kinase complex, class IA	232	5	0	0	1	
MUT	phosphatidylinositol 3-kinase complex, class IA	232	43	0	0	1	
WT	perinuclear endoplasmic reticulum membrane	232	5	0	0	1	
MUT	perinuclear endoplasmic reticulum membrane	232	43	0	0	1	
WT	spermatoproteasome complex	232	5	0	0	1	
MUT	spermatoproteasome complex	232	43	0	0	1	
WT	serotonergic synapse	232	5	0	0	1	
MUT	serotonergic synapse	232	43	0	0	1	
WT	striated muscle thin filament	232	5	5	0	1	
MUT	striated muscle thin filament	232	43	5	1	0.64473878034552	TMOD2
WT	Cdc73/Paf1 complex	232	5	0	0	1	
MUT	Cdc73/Paf1 complex	232	43	0	0	1	
WT	delta DNA polymerase complex	232	5	0	0	1	
MUT	delta DNA polymerase complex	232	43	0	0	1	
WT	TEAD-1-YAP complex	232	5	0	0	1	
MUT	TEAD-1-YAP complex	232	43	0	0	1	
WT	CERF complex	232	5	0	0	1	
MUT	CERF complex	232	43	0	0	1	
WT	glomerular endothelium fenestra	232	5	0	0	1	
MUT	glomerular endothelium fenestra	232	43	0	0	1	
WT	late endosome lumen	232	5	0	0	1	
MUT	late endosome lumen	232	43	0	0	1	
WT	interleukin-12 complex	232	5	0	0	1	
MUT	interleukin-12 complex	232	43	0	0	1	
WT	interleukin-23 complex	232	5	0	0	1	
MUT	interleukin-23 complex	232	43	0	0	1	
WT	IPAF inflammasome complex	232	5	0	0	1	
MUT	IPAF inflammasome complex	232	43	0	0	1	
WT	NLRP1 inflammasome complex	232	5	0	0	1	
MUT	NLRP1 inflammasome complex	232	43	0	0	1	
WT	protease inhibitor complex	232	5	0	0	1	
MUT	protease inhibitor complex	232	43	0	0	1	
WT	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	232	5	0	0	1	
MUT	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	232	43	0	0	1	
WT	protein phosphatase type 2A complex	232	5	0	0	1	
MUT	protein phosphatase type 2A complex	232	43	0	0	1	
WT	host cell surface	232	5	0	0	1	
MUT	host cell surface	232	43	0	0	1	
WT	microtubule plus-end	232	5	2	0	1	
MUT	microtubule plus-end	232	43	2	1	0.336990595611285	DST
WT	dendritic spine neck	232	5	2	0	1	
MUT	dendritic spine neck	232	43	2	0	1	
WT	methionine adenosyltransferase complex	232	5	0	0	1	
MUT	methionine adenosyltransferase complex	232	43	0	0	1	
WT	ribonucleoside-diphosphate reductase complex	232	5	0	0	1	
MUT	ribonucleoside-diphosphate reductase complex	232	43	0	0	1	
WT	terminal cisterna lumen	232	5	0	0	1	
MUT	terminal cisterna lumen	232	43	0	0	1	
WT	nuclear stress granule	232	5	0	0	1	
MUT	nuclear stress granule	232	43	0	0	1	
WT	granulocyte macrophage colony-stimulating factor receptor complex	232	5	0	0	1	
MUT	granulocyte macrophage colony-stimulating factor receptor complex	232	43	0	0	1	
WT	cleavage body	232	5	0	0	1	
MUT	cleavage body	232	43	0	0	1	
WT	BRISC complex	232	5	0	0	1	
MUT	BRISC complex	232	43	0	0	1	
WT	Scrib-APC-beta-catenin complex	232	5	1	0	1	
MUT	Scrib-APC-beta-catenin complex	232	43	1	0	1	
WT	DNA replication factor C complex	232	5	0	0	1	
MUT	DNA replication factor C complex	232	43	0	0	1	
WT	Elg1 RFC-like complex	232	5	0	0	1	
MUT	Elg1 RFC-like complex	232	43	0	0	1	
WT	transcription factor TFIIF complex	232	5	0	0	1	
MUT	transcription factor TFIIF complex	232	43	0	0	1	
WT	nuclear outer membrane	232	5	0	0	1	
MUT	nuclear outer membrane	232	43	0	0	1	
WT	spine apparatus	232	5	0	0	1	
MUT	spine apparatus	232	43	0	0	1	
WT	microfibril	232	5	0	0	1	
MUT	microfibril	232	43	0	0	1	
WT	isoamylase complex	232	5	0	0	1	
MUT	isoamylase complex	232	43	0	0	1	
WT	actomyosin contractile ring	232	5	1	0	1	
MUT	actomyosin contractile ring	232	43	1	0	1	
WT	actomyosin	232	5	5	0	1	
MUT	actomyosin	232	43	5	0	1	
WT	myosin II filament	232	5	2	0	1	
MUT	myosin II filament	232	43	2	0	1	
WT	F-actin capping protein complex	232	5	5	0	1	
MUT	F-actin capping protein complex	232	43	5	2	0.231867633179503	ADD2,ADD1
WT	cytoplasmic side of nuclear pore	232	5	0	0	1	
MUT	cytoplasmic side of nuclear pore	232	43	0	0	1	
WT	cytoskeletal calyx	232	5	0	0	1	
MUT	cytoskeletal calyx	232	43	0	0	1	
WT	cytosolic aryl hydrocarbon receptor complex	232	5	0	0	1	
MUT	cytosolic aryl hydrocarbon receptor complex	232	43	0	0	1	
WT	proton-transporting two-sector ATPase complex, catalytic domain	232	5	0	0	1	
MUT	proton-transporting two-sector ATPase complex, catalytic domain	232	43	0	0	1	
WT	activin receptor complex	232	5	0	0	1	
MUT	activin receptor complex	232	43	0	0	1	
WT	GMP reductase complex	232	5	0	0	1	
MUT	GMP reductase complex	232	43	0	0	1	
WT	sodium channel complex	232	5	0	0	1	
MUT	sodium channel complex	232	43	0	0	1	
WT	supraspliceosomal complex	232	5	0	0	1	
MUT	supraspliceosomal complex	232	43	0	0	1	
WT	gamma-tubulin ring complex	232	5	0	0	1	
MUT	gamma-tubulin ring complex	232	43	0	0	1	
WT	BRCA1-BARD1 complex	232	5	0	0	1	
MUT	BRCA1-BARD1 complex	232	43	0	0	1	
WT	BRCA1-A complex	232	5	0	0	1	
MUT	BRCA1-A complex	232	43	0	0	1	
WT	collagen type XV trimer	232	5	0	0	1	
MUT	collagen type XV trimer	232	43	0	0	1	
WT	oncostatin-M receptor complex	232	5	0	0	1	
MUT	oncostatin-M receptor complex	232	43	0	0	1	
WT	large ribosomal subunit	232	5	0	0	1	
MUT	large ribosomal subunit	232	43	0	0	1	
WT	late recombination nodule	232	5	0	0	1	
MUT	late recombination nodule	232	43	0	0	1	
WT	RNA polymerase II transcription repressor complex	232	5	0	0	1	
MUT	RNA polymerase II transcription repressor complex	232	43	0	0	1	
WT	lumenal side of membrane	232	5	0	0	1	
MUT	lumenal side of membrane	232	43	0	0	1	
WT	XPC complex	232	5	0	0	1	
MUT	XPC complex	232	43	0	0	1	
WT	NatA complex	232	5	0	0	1	
MUT	NatA complex	232	43	0	0	1	
WT	axonal spine	232	5	0	0	1	
MUT	axonal spine	232	43	0	0	1	
WT	neuron spine	232	5	0	0	1	
MUT	neuron spine	232	43	0	0	1	
WT	postsynaptic endocytic zone	232	5	0	0	1	
MUT	postsynaptic endocytic zone	232	43	0	0	1	
WT	TRAMP complex	232	5	0	0	1	
MUT	TRAMP complex	232	43	0	0	1	
WT	viral replication complex	232	5	0	0	1	
MUT	viral replication complex	232	43	0	0	1	
WT	nuclear condensin complex	232	5	0	0	1	
MUT	nuclear condensin complex	232	43	0	0	1	
WT	interleukin-12 receptor complex	232	5	0	0	1	
MUT	interleukin-12 receptor complex	232	43	0	0	1	
WT	interleukin-23 receptor complex	232	5	0	0	1	
MUT	interleukin-23 receptor complex	232	43	0	0	1	
WT	intrinsic component of endosome membrane	232	5	0	0	1	
MUT	intrinsic component of endosome membrane	232	43	0	0	1	
WT	membrane protein complex	232	5	0	0	1	
MUT	membrane protein complex	232	43	0	0	1	
WT	perisynaptic space	232	5	0	0	1	
MUT	perisynaptic space	232	43	0	0	1	
WT	astral microtubule	232	5	0	0	1	
MUT	astral microtubule	232	43	0	0	1	
WT	kinesin complex	232	5	1	0	1	
MUT	kinesin complex	232	43	1	1	0.185344827586207	KIF5C
WT	central region of growth cone	232	5	0	0	1	
MUT	central region of growth cone	232	43	0	0	1	
WT	MutSalpha complex	232	5	0	0	1	
MUT	MutSalpha complex	232	43	0	0	1	
WT	spanning component of membrane	232	5	0	0	1	
MUT	spanning component of membrane	232	43	0	0	1	
WT	nuclear pore cytoplasmic filaments	232	5	0	0	1	
MUT	nuclear pore cytoplasmic filaments	232	43	0	0	1	
WT	cytoplasmic periphery of the nuclear pore complex	232	5	0	0	1	
MUT	cytoplasmic periphery of the nuclear pore complex	232	43	0	0	1	
WT	telomeric heterochromatin	232	5	0	0	1	
MUT	telomeric heterochromatin	232	43	0	0	1	
WT	nuclear subtelomeric heterochromatin	232	5	0	0	1	
MUT	nuclear subtelomeric heterochromatin	232	43	0	0	1	
WT	Cul4A-RING E3 ubiquitin ligase complex	232	5	0	0	1	
MUT	Cul4A-RING E3 ubiquitin ligase complex	232	43	0	0	1	
WT	MAML1-RBP-Jkappa- ICN1 complex	232	5	0	0	1	
MUT	MAML1-RBP-Jkappa- ICN1 complex	232	43	0	0	1	
WT	nuclear ubiquitin ligase complex	232	5	0	0	1	
MUT	nuclear ubiquitin ligase complex	232	43	0	0	1	
WT	hippocampal mossy fiber	232	5	1	0	1	
MUT	hippocampal mossy fiber	232	43	1	0	1	
WT	TEAD-2-YAP complex	232	5	0	0	1	
MUT	TEAD-2-YAP complex	232	43	0	0	1	
WT	oligosaccharyltransferase III complex	232	5	0	0	1	
MUT	oligosaccharyltransferase III complex	232	43	0	0	1	
WT	glutamate-cysteine ligase complex	232	5	0	0	1	
MUT	glutamate-cysteine ligase complex	232	43	0	0	1	
WT	phosphatidylinositol 3-kinase complex, class IB	232	5	0	0	1	
MUT	phosphatidylinositol 3-kinase complex, class IB	232	43	0	0	1	
WT	dendritic tree	232	5	0	0	1	
MUT	dendritic tree	232	43	0	0	1	
WT	host cell perinuclear region of cytoplasm	232	5	0	0	1	
MUT	host cell perinuclear region of cytoplasm	232	43	0	0	1	
WT	paraferritin complex	232	5	0	0	1	
MUT	paraferritin complex	232	43	0	0	1	
WT	CAAX-protein geranylgeranyltransferase complex	232	5	0	0	1	
MUT	CAAX-protein geranylgeranyltransferase complex	232	43	0	0	1	
WT	protein farnesyltransferase complex	232	5	0	0	1	
MUT	protein farnesyltransferase complex	232	43	0	0	1	
WT	condensed chromosome inner kinetochore	232	5	0	0	1	
MUT	condensed chromosome inner kinetochore	232	43	0	0	1	
WT	ciliary transition fiber	232	5	0	0	1	
MUT	ciliary transition fiber	232	43	0	0	1	
WT	HOPS complex	232	5	0	0	1	
MUT	HOPS complex	232	43	0	0	1	
WT	gamma-secretase complex	232	5	0	0	1	
MUT	gamma-secretase complex	232	43	0	0	1	
WT	TSC1-TSC2 complex	232	5	0	0	1	
MUT	TSC1-TSC2 complex	232	43	0	0	1	
WT	SAGA complex	232	5	0	0	1	
MUT	SAGA complex	232	43	0	0	1	
WT	SLIK (SAGA-like) complex	232	5	0	0	1	
MUT	SLIK (SAGA-like) complex	232	43	0	0	1	
WT	epidermal lamellar body	232	5	0	0	1	
MUT	epidermal lamellar body	232	43	0	0	1	
WT	DNA-dependent protein kinase-DNA ligase 4 complex	232	5	0	0	1	
MUT	DNA-dependent protein kinase-DNA ligase 4 complex	232	43	0	0	1	
WT	DNA ligase IV complex	232	5	0	0	1	
MUT	DNA ligase IV complex	232	43	0	0	1	
WT	intrinsic component of mitochondrial inner membrane	232	5	0	0	1	
MUT	intrinsic component of mitochondrial inner membrane	232	43	0	0	1	
WT	early endosome lumen	232	5	0	0	1	
MUT	early endosome lumen	232	43	0	0	1	
WT	recycling endosome lumen	232	5	0	0	1	
MUT	recycling endosome lumen	232	43	0	0	1	
WT	cyclin-dependent protein kinase activating kinase holoenzyme complex	232	5	0	0	1	
MUT	cyclin-dependent protein kinase activating kinase holoenzyme complex	232	43	0	0	1	
WT	extrinsic component of lysosome membrane	232	5	0	0	1	
MUT	extrinsic component of lysosome membrane	232	43	0	0	1	
WT	gamma DNA polymerase complex	232	5	0	0	1	
MUT	gamma DNA polymerase complex	232	43	0	0	1	
WT	Sec61 translocon complex	232	5	0	0	1	
MUT	Sec61 translocon complex	232	43	0	0	1	
WT	BRCA2-MAGE-D1 complex	232	5	0	0	1	
MUT	BRCA2-MAGE-D1 complex	232	43	0	0	1	
WT	SAGA-type complex	232	5	0	0	1	
MUT	SAGA-type complex	232	43	0	0	1	
WT	caveolar macromolecular signaling complex	232	5	0	0	1	
MUT	caveolar macromolecular signaling complex	232	43	0	0	1	
WT	ion channel complex	232	5	0	0	1	
MUT	ion channel complex	232	43	0	0	1	
WT	mitotic spindle astral microtubule	232	5	0	0	1	
MUT	mitotic spindle astral microtubule	232	43	0	0	1	
